Crop,State,District,Season,Year,Area,Production,Yield,Rainfall,Temperature,Humidity,pH,N,P,K,Pesticide_usage
Potato,Gujarat,Surat,Whole Year,2022,9996.26,274715.22,27.4818,616.69,19.79,68.7,5.37,95.87,82.77,118.71,16.62
Tomato,Maharashtra,Kolhapur,Whole Year,2003,5401.4,,39.9898,1043.3,23.7,78.44,6.33,87.87,77.0,108.26,2.67
Sugarcane,Telangana,Nizamabad,Whole Year,2013,28323.5,2299029.82,81.1704,1574.65,24.63,68.17,6.06,121.47,71.02,97.44,14.51
Turmeric,Maharashtra,Aurangabad,Kharif,2020,15885.88,124075.08,7.8104,1889.45,20.18,66.11,6.19,68.04,44.65,149.52,9.15
Maize,Telangana,Hyderabad,Kharif,2005,33414.46,134646.91,4.0296,766.69,20.35,57.85,6.8,97.23,48.41,,14.7
Sugarcane,Uttar Pradesh,Allahabad,Whole Year,2020,25248.11,2144478.52,84.9362,,33.84,65.76,6.36,153.58,69.62,78.06,3.49
Cotton,Uttar Pradesh,Kanpur,Kharif,2017,29381.69,55108.3,1.8756,768.67,27.54,60.92,6.09,77.91,36.16,32.13,
Ginger,Haryana,Ambala,Kharif,2019,35341.88,608187.81,17.2087,2961.58,27.33,87.25,5.54,66.2,45.33,109.12,11.75
Wheat,Karnataka,Mangaluru,Rabi,2004,10231.71,41288.02,4.0353,655.97,22.36,53.95,7.23,94.45,57.3,52.28,9.96
Sugarcane,Bihar,Bhagalpur,Whole Year,2021,3569.58,260839.56,73.0729,1204.2,29.29,72.02,6.33,104.28,62.76,78.38,10.53
Ginger,Telangana,Nizamabad,Kharif,2015,851.8,15661.02,18.3858,2937.01,27.41,85.25,6.17,79.15,57.4,87.85,9.23
Tomato,Tamil Nadu,Coimbatore,Whole Year,2008,880.97,34388.22,39.0345,942.77,27.45,65.03,6.52,119.74,70.15,91.17,6.99
Coffee,Rajasthan,Bikaner,Whole Year,2011,2462.62,4583.43,1.8612,2099.73,19.82,79.68,6.16,130.4,58.83,127.07,7.8
Sugarcane,Tamil Nadu,Coimbatore,Kharif,2009,12410.55,965058.02,77.7611,1562.98,24.96,68.29,6.08,127.71,61.59,94.79,19.08
Soybean,West Bengal,Durgapur,Kharif,2005,27435.89,62018.83,2.2605,1111.14,21.07,64.14,6.51,22.89,48.85,41.34,10.84
Chickpea,Haryana,Rohtak,Rabi,2020,45993.84,72725.46,1.5812,433.6,27.46,49.84,6.83,21.76,45.26,36.3,5.0
Cotton,Andhra Pradesh,Vijayawada,Kharif,2021,31701.55,60328.05,1.903,1119.49,34.01,43.4,7.9,80.35,25.33,31.33,13.58
Tomato,Madhya Pradesh,Rewa,Zaid,2014,46771.52,2037830.45,43.5699,1091.78,,74.72,6.53,112.2,75.82,102.56,8.24
Soybean,Telangana,Nizamabad,Kharif,2016,34455.54,83837.22,2.4332,970.17,27.25,50.35,6.37,38.3,50.46,44.26,16.73
Soybean,Karnataka,Hubli,Kharif,2021,20147.64,47389.26,2.3521,1010.32,21.63,62.64,6.57,25.46,41.55,50.11,3.54
Wheat,Punjab,Patiala,Rabi,2021,31836.07,135682.15,4.2619,896.04,21.94,57.26,7.49,88.55,51.63,56.72,1.26
Soybean,Telangana,Warangal,Kharif,2009,34622.43,63130.54,1.8234,871.6,21.3,,6.93,20.45,43.77,47.31,15.15
Coffee,Assam,Dibrugarh,Whole Year,2009,38256.24,64362.3,1.6824,2343.35,27.68,70.45,5.61,109.19,69.36,101.96,7.28
Onion,Odisha,Rourkela,Zaid,2011,46512.16,937164.21,20.1488,486.0,18.04,52.15,,72.45,48.03,75.9,3.9
Tea,Assam,Guwahati,Whole Year,2000,9788.49,21837.14,2.2309,2229.4,22.8,91.85,4.83,97.37,32.24,79.13,4.01
Maize,Uttar Pradesh,Lucknow,Zaid,2012,32722.66,137317.37,4.1964,642.76,24.93,59.97,5.86,108.57,54.03,58.86,11.12
Potato,Bihar,Muzaffarpur,Rabi,2015,13883.36,400962.54,28.8808,687.82,15.4,80.27,6.45,107.0,75.15,146.06,3.8
Onion,Gujarat,Rajkot,Rabi,2006,14361.09,291623.47,20.3065,415.77,27.62,70.46,6.79,62.93,56.09,,10.67
Onion,West Bengal,Durgapur,Rabi,2016,11105.05,241838.01,21.7773,450.38,18.46,60.32,,87.14,,65.17,19.16
Barley,Assam,Silchar,Rabi,2007,9861.08,27409.86,2.7796,525.08,,45.75,6.06,55.45,35.81,54.42,14.07
Onion,Telangana,Nizamabad,Zaid,2006,33573.77,874687.36,26.0527,513.08,15.5,69.25,7.43,95.71,68.67,81.11,9.05
Mustard,Odisha,Sambalpur,Rabi,2000,37596.1,77338.94,2.0571,663.47,22.41,60.49,5.96,55.78,44.25,30.07,16.59
Potato,Punjab,Jalandhar,Rabi,2010,4734.68,146846.57,31.0151,829.21,23.0,68.29,6.19,115.43,80.99,107.28,2.31
Chickpea,Odisha,Bhubaneswar,Rabi,2018,,49426.22,1.6257,645.88,17.35,43.69,6.15,25.61,45.02,25.08,1.95
Tomato,Andhra Pradesh,Kurnool,Zaid,2006,6289.57,231698.32,36.8385,978.11,25.57,68.81,6.63,83.77,76.24,108.75,18.09
Potato,Andhra Pradesh,Guntur,Whole Year,2009,14308.34,379925.06,26.5527,987.62,23.61,70.44,5.5,90.28,80.58,102.03,5.3
Wheat,Gujarat,Vadodara,Rabi,2007,25479.12,95763.27,3.7585,971.45,14.36,54.3,6.78,,,58.29,
Tomato,Punjab,Amritsar,Zaid,2010,4390.98,209229.32,47.6498,1180.59,23.73,78.81,6.29,107.57,82.58,89.41,12.38
Barley,Haryana,Gurugram,Rabi,2005,,24163.47,2.671,355.29,19.44,56.4,6.5,83.33,35.84,52.7,16.97
Wheat,Odisha,Rourkela,Rabi,2023,7647.79,30152.94,3.9427,761.08,11.84,59.99,7.33,80.45,58.28,52.05,8.87
Onion,Haryana,Gurugram,Zaid,2004,20308.4,456429.26,22.4749,539.05,27.33,57.06,6.37,86.19,49.32,74.78,1.01
Onion,Tamil Nadu,Salem,Zaid,2017,23441.15,442423.58,18.8738,302.36,24.83,70.29,6.18,64.29,48.43,94.33,19.26
Onion,Maharashtra,Pune,Rabi,2017,27364.02,726342.34,26.5437,338.79,24.15,73.08,6.25,96.9,69.37,73.74,19.72
Onion,Uttar Pradesh,Kanpur,Zaid,2020,1157.03,29227.62,25.2609,601.38,24.65,66.18,6.71,98.57,53.21,84.49,11.73
Ginger,Madhya Pradesh,Indore,Kharif,2016,19570.44,304985.74,15.584,1982.97,24.45,83.86,6.34,69.28,56.07,92.56,4.91
Chickpea,Punjab,Ludhiana,Rabi,2007,38617.63,51573.84,1.3355,369.32,25.88,66.64,6.43,26.69,47.38,36.63,4.36
Chickpea,Tamil Nadu,Coimbatore,Rabi,2015,6443.29,10466.48,1.6244,563.98,,56.14,6.38,18.45,52.97,27.66,11.25
Potato,Andhra Pradesh,Kurnool,Whole Year,2014,,779637.2,27.4937,769.28,22.77,73.26,5.88,92.95,83.66,140.89,8.73
Rice,Madhya Pradesh,Jabalpur,Kharif,2003,38264.34,150497.48,3.9331,1265.21,22.53,81.45,,92.8,57.28,57.91,14.44
Soybean,West Bengal,Durgapur,Kharif,2006,25586.7,52706.04,2.0599,835.06,24.33,50.06,6.07,34.19,47.12,,3.44
Sugarcane,Gujarat,Ahmedabad,Kharif,2003,20361.09,1648631.35,80.9697,1113.13,27.13,85.42,6.4,137.63,50.77,104.19,5.53
Potato,Tamil Nadu,Chennai,Whole Year,2018,49115.92,1365854.8,27.8088,806.21,,79.82,5.06,84.61,72.95,140.76,18.98
Barley,Andhra Pradesh,Visakhapatnam,Rabi,2014,35147.58,93369.55,2.6565,428.29,13.76,46.17,6.26,59.26,36.0,36.15,7.21
Tomato,Andhra Pradesh,Vijayawada,Whole Year,2013,22647.82,893137.16,39.4359,1053.06,26.96,64.7,6.91,93.28,88.52,98.6,11.12
Wheat,Assam,Silchar,Rabi,2018,19567.06,66166.01,3.3815,680.25,14.99,62.13,6.18,84.66,51.38,45.81,15.13
Cotton,West Bengal,Siliguri,Kharif,2015,,60140.83,2.1623,1058.17,29.8,71.39,7.12,99.33,29.43,40.12,16.62
Sunflower,Karnataka,Hubli,Zaid,2019,42595.72,66334.31,1.5573,722.29,22.4,57.81,6.78,77.06,52.55,47.92,8.36
Potato,Punjab,Amritsar,Whole Year,2008,19535.52,677142.15,34.6621,968.93,19.09,72.02,5.22,,88.14,120.05,1.87
Tomato,Telangana,Khammam,Whole Year,2005,23858.22,926343.11,38.827,733.4,25.68,71.84,6.22,99.22,67.6,86.65,8.28
Sunflower,Madhya Pradesh,Ujjain,Zaid,2010,1494.51,,1.6872,498.7,22.71,65.08,7.35,67.01,58.84,59.95,13.18
Soybean,Andhra Pradesh,Visakhapatnam,Kharif,2004,17500.55,34798.09,1.9884,671.1,23.94,64.39,6.66,24.48,50.35,,4.81
Ginger,Odisha,Sambalpur,Kharif,2016,10363.06,172966.73,16.6907,2236.07,26.05,71.33,5.55,96.45,54.99,81.55,9.54
Sunflower,Haryana,Hisar,Zaid,2020,2298.91,,2.0935,773.22,24.0,42.98,7.28,93.46,59.99,58.42,15.39
Tea,Andhra Pradesh,Vijayawada,Whole Year,2016,2411.76,6393.33,2.6509,2502.34,18.15,93.53,5.13,139.58,33.64,78.76,11.73
Bajra,Tamil Nadu,Madurai,Kharif,2005,42715.82,50186.82,1.1749,211.04,28.67,31.8,6.39,41.15,30.6,36.73,6.68
Jowar,Tamil Nadu,Madurai,Kharif,2009,28155.89,47087.91,1.6724,750.12,33.88,69.48,6.72,71.71,27.05,48.3,16.17
Sugarcane,Rajasthan,Kota,Whole Year,2011,9378.78,642357.33,68.4905,1220.2,25.06,77.17,6.4,107.68,63.11,73.1,9.68
Turmeric,Odisha,Bhubaneswar,Kharif,2015,9096.14,74974.02,8.2424,2044.61,21.32,77.49,,71.05,56.44,146.61,7.56
Groundnut,Haryana,Ambala,Kharif,2003,24229.82,45741.05,1.8878,564.09,30.98,67.89,6.63,16.7,47.77,82.5,8.22
Chickpea,Tamil Nadu,Tiruchirappalli,Rabi,2023,,4649.23,1.6589,683.29,20.43,41.7,6.78,32.59,41.88,24.21,4.53
Sunflower,Haryana,Rohtak,Rabi,2019,25256.74,33235.34,1.3159,424.88,29.03,41.54,7.45,73.44,43.11,51.61,14.84
Tomato,Andhra Pradesh,Kakinada,Zaid,2019,30982.69,1146498.95,37.0045,893.83,28.37,64.45,6.4,89.11,74.48,92.7,9.2
Tea,Andhra Pradesh,Visakhapatnam,Whole Year,2022,2247.21,5020.72,2.2342,2308.24,27.11,,4.86,108.12,26.86,71.07,8.4
Tomato,Karnataka,Mysuru,Whole Year,2016,3344.85,109145.8,32.631,1032.73,27.74,74.78,6.4,98.25,64.66,85.32,19.82
Onion,West Bengal,Asansol,Rabi,2011,31688.86,730925.74,23.0657,553.05,27.85,69.25,6.43,77.27,65.32,82.9,15.57
Onion,Odisha,Bhubaneswar,Rabi,2005,7144.74,157680.12,22.0694,392.03,26.25,57.6,6.33,81.7,43.43,96.21,6.43
Groundnut,Andhra Pradesh,Kakinada,Zaid,2018,6939.24,12463.57,1.7961,686.13,26.87,50.71,5.65,24.46,36.77,85.55,
Jowar,Karnataka,Belagavi,Kharif,2018,4411.79,6707.69,1.5204,647.71,25.53,51.83,6.53,82.84,27.42,31.69,13.12
Tea,West Bengal,Kolkata,Whole Year,2002,36903.63,78560.45,2.1288,2131.97,25.95,84.65,,107.77,27.6,54.58,4.06
Tea,Karnataka,Hubli,Whole Year,2017,30697.23,56031.65,1.8253,2676.7,25.44,77.08,4.99,101.12,25.14,53.24,10.83
Onion,Uttar Pradesh,Allahabad,Zaid,2015,34225.43,846624.19,24.7367,510.48,26.57,,6.36,77.55,43.11,94.83,6.49
Onion,Assam,Guwahati,Rabi,2023,34385.11,747436.01,21.7372,660.38,16.34,53.64,6.57,95.11,44.66,86.11,19.89
Maize,Haryana,Gurugram,Zaid,2022,6624.09,36195.35,5.4642,686.64,22.32,61.12,5.86,119.85,62.17,68.78,1.68
Tomato,Odisha,Sambalpur,Zaid,2009,32118.69,1456688.58,45.3533,714.15,26.23,76.89,6.23,115.83,75.8,117.45,15.88
Onion,West Bengal,Howrah,Rabi,2018,47576.81,923013.9,19.4005,467.44,19.99,73.74,6.54,69.13,52.46,60.99,16.78
Bajra,Punjab,Jalandhar,Kharif,2005,684.1,887.35,1.2971,239.45,29.92,57.85,6.56,67.97,21.11,23.71,2.58
Sugarcane,Uttar Pradesh,Allahabad,Whole Year,2013,48144.43,3901253.9,81.0323,1154.01,26.45,66.69,6.71,137.34,77.04,102.6,6.82
Sunflower,Karnataka,Mysuru,Zaid,2003,35000.79,57894.81,1.6541,457.75,29.3,67.58,7.33,77.04,57.86,57.9,14.28
Wheat,Odisha,Sambalpur,Rabi,2013,16357.07,52239.57,3.1937,479.86,13.33,,7.14,98.13,46.36,46.42,8.04
Bajra,Telangana,Nizamabad,Kharif,2000,42328.63,44085.27,1.0415,249.63,25.08,40.88,5.87,62.25,29.11,35.24,6.49
Onion,Tamil Nadu,Tiruchirappalli,Zaid,2010,19145.15,397828.56,20.7796,,17.07,70.49,6.92,65.1,50.41,70.74,9.91
Barley,Gujarat,Rajkot,Rabi,2013,45486.43,115922.17,2.5485,790.08,,62.36,6.09,65.63,40.08,41.14,15.65
Groundnut,Gujarat,Mehsana,Zaid,2023,35514.63,75372.7,2.1223,894.56,25.96,61.8,6.96,33.79,45.2,84.78,17.7
Groundnut,Maharashtra,Nagpur,Kharif,2004,39436.14,75693.73,1.9194,707.07,33.0,64.16,6.01,35.77,30.47,89.17,6.27
Maize,Rajasthan,Ajmer,Kharif,2016,28419.12,109706.33,3.8603,859.62,28.79,63.74,,105.0,53.26,44.69,12.78
Sugarcane,Gujarat,Rajkot,Kharif,2014,22341.11,1772434.2,79.3351,1510.23,33.6,88.71,7.38,117.42,60.42,,5.45
Wheat,Telangana,Nizamabad,Rabi,2022,27995.13,107372.52,3.8354,900.48,18.49,59.55,,70.11,50.95,40.89,11.38
Coffee,Assam,Jorhat,Whole Year,2023,28582.27,57859.09,2.0243,2165.33,23.03,72.06,5.64,102.21,69.84,102.8,15.13
Potato,Andhra Pradesh,Visakhapatnam,Whole Year,2004,24903.91,604275.94,24.2643,854.93,22.04,,5.82,86.71,67.94,102.27,7.94
Onion,Maharashtra,Nashik,Rabi,2019,16060.04,349321.93,21.751,368.7,25.98,62.7,6.16,68.05,,74.01,1.97
Groundnut,Tamil Nadu,Madurai,Zaid,2017,44159.12,,1.555,619.41,30.03,,6.23,16.14,40.51,76.98,
Groundnut,Odisha,Sambalpur,Zaid,2020,24410.51,42820.92,1.7542,554.17,29.51,57.77,6.33,17.71,48.09,76.26,5.82
Maize,Bihar,Muzaffarpur,Zaid,2022,806.88,3543.25,4.3913,748.14,28.39,60.34,6.17,103.95,57.79,51.77,9.53
Sugarcane,Maharashtra,Amravati,Whole Year,2023,3367.65,248354.42,73.7471,1691.65,26.6,69.16,7.2,120.45,58.23,70.06,1.26
Sunflower,Karnataka,Bengaluru,Zaid,2002,39788.3,58098.88,1.4602,482.34,22.48,40.15,6.1,84.52,56.22,44.33,2.82
Sugarcane,Bihar,Muzaffarpur,Whole Year,2023,18239.73,1272086.19,69.7426,1128.6,31.81,84.14,7.33,101.96,65.29,78.35,18.72
Barley,Assam,Guwahati,Rabi,2013,6211.52,17474.87,2.8133,658.36,14.07,53.65,6.03,64.14,37.48,48.07,8.97
Soybean,Madhya Pradesh,Jabalpur,Kharif,2005,27493.73,,2.44,1125.42,,55.68,6.03,44.85,48.09,40.22,6.66
Maize,Rajasthan,Bikaner,Kharif,2010,,80098.14,4.2767,818.41,24.3,67.28,6.96,99.5,49.78,61.36,13.02
Rice,Odisha,Rourkela,Kharif,2006,33020.0,,3.8671,2279.83,29.97,72.05,5.61,100.32,43.52,47.52,17.14
Onion,Haryana,Gurugram,Zaid,2022,30566.85,806243.46,26.3764,481.52,17.4,74.7,7.5,90.61,60.92,61.86,1.49
Sugarcane,Madhya Pradesh,Rewa,Whole Year,2020,32162.53,2556284.32,79.4802,1376.66,33.7,65.39,6.31,149.02,65.98,76.19,5.44
Jowar,Karnataka,Hubli,Kharif,2008,5213.2,7459.57,1.4309,517.12,25.95,59.33,6.33,87.09,26.08,27.45,9.86
Potato,Telangana,Hyderabad,Whole Year,2014,23411.15,649453.39,27.7412,883.22,19.1,74.75,6.45,103.61,64.74,121.76,17.5
Potato,Andhra Pradesh,Kurnool,Whole Year,2002,191.04,5173.92,27.0829,714.97,17.57,79.33,5.26,90.86,86.29,136.17,15.46
Groundnut,West Bengal,Kolkata,Zaid,2016,19891.84,43272.71,2.1754,779.07,29.99,59.99,5.67,33.5,30.8,84.43,6.15
Sugarcane,Tamil Nadu,Madurai,Kharif,2010,1002.66,79144.37,78.9344,1214.43,34.95,79.22,,131.44,72.56,100.66,8.16
Sugarcane,Karnataka,Mangaluru,Kharif,2014,10214.64,778506.74,76.2148,1165.28,33.34,71.67,7.47,159.79,,96.34,16.82
Maize,Odisha,Bhubaneswar,Zaid,2004,42070.75,167550.97,3.9826,733.72,27.82,61.58,5.87,108.61,,50.75,9.85
Onion,Punjab,Jalandhar,Rabi,2014,21199.55,515062.15,24.2959,,24.29,73.06,7.29,81.09,49.42,80.02,19.71
Sugarcane,West Bengal,Durgapur,Whole Year,2010,20521.9,1459677.6,71.1278,1699.08,34.0,68.39,6.71,135.63,56.0,80.79,6.26
Tomato,Bihar,Muzaffarpur,Zaid,2003,32679.74,1243366.07,38.047,994.73,29.19,79.64,6.45,109.86,70.72,86.79,11.02
Sugarcane,Maharashtra,Nagpur,Whole Year,2017,,612427.69,85.3018,1687.08,29.75,84.6,6.43,139.93,71.26,104.29,13.71
Maize,Karnataka,Mysuru,Kharif,2018,36323.52,179852.28,4.9514,1082.38,20.94,60.7,6.25,110.24,43.56,65.88,14.83
Groundnut,Andhra Pradesh,Kakinada,Zaid,2016,,81860.68,2.1271,779.3,29.3,73.01,6.96,29.82,36.81,67.35,4.6
Rice,Rajasthan,Udaipur,Kharif,2022,47939.63,224079.42,4.6742,1633.08,24.92,73.62,6.19,102.53,48.68,50.99,10.85
Cotton,Rajasthan,Jodhpur,Kharif,2021,10197.78,20978.87,2.0572,611.96,27.98,72.61,6.77,77.79,46.36,41.38,9.68
Groundnut,Telangana,Khammam,Zaid,2021,14352.49,31028.65,2.1619,824.98,31.95,69.51,6.64,28.26,48.24,71.57,6.39
Tomato,Telangana,Nizamabad,Whole Year,2015,18352.34,733566.89,39.9713,659.42,20.25,63.28,,102.18,83.28,82.23,9.53
Maize,Odisha,Rourkela,Zaid,2023,26450.01,101351.15,3.8318,818.01,24.42,60.28,6.46,108.06,56.46,40.46,10.51
Sunflower,Assam,Dibrugarh,Rabi,2021,27556.97,43269.95,1.5702,607.9,30.98,43.54,6.06,68.96,,58.09,4.92
Coffee,Assam,Silchar,Whole Year,2000,36190.4,69080.24,1.9088,,21.33,84.89,6.25,99.34,54.78,115.57,11.08
Turmeric,Maharashtra,Amravati,Kharif,2015,23865.65,190863.15,7.9974,1365.34,31.57,72.37,5.61,79.12,51.82,140.21,15.95
Rice,Assam,Dibrugarh,Kharif,2021,15766.68,57040.69,3.6178,1566.98,22.15,77.9,5.59,92.97,44.19,,16.08
Sugarcane,Gujarat,Surat,Whole Year,2015,17067.25,1366093.41,80.0418,1224.9,27.48,79.88,6.13,123.53,69.76,96.28,
Tea,Madhya Pradesh,Gwalior,Whole Year,2015,27746.14,55963.96,2.017,1728.37,25.35,77.67,5.47,90.32,,58.13,9.12
Maize,Tamil Nadu,Chennai,Zaid,2021,8059.1,37382.94,4.6386,907.42,22.65,64.1,6.15,,69.37,42.59,1.78
Tea,Andhra Pradesh,Vijayawada,Whole Year,2018,10261.63,19603.82,1.9104,1879.69,27.62,89.94,4.8,91.5,20.05,68.1,3.6
Sunflower,Uttar Pradesh,Allahabad,Zaid,2005,48214.72,73136.91,1.5169,559.0,27.61,44.76,7.02,61.9,56.18,54.38,11.83
Sunflower,Punjab,Ludhiana,Zaid,2023,36048.5,60269.49,1.6719,537.32,,46.1,7.26,97.5,56.75,58.55,16.7
Groundnut,Gujarat,Mehsana,Kharif,2016,36736.64,60472.18,1.6461,531.34,34.34,56.42,6.84,21.21,42.48,76.28,
Maize,Gujarat,Surat,Zaid,2015,1096.3,4698.85,4.2861,1066.28,20.32,75.28,6.52,112.29,42.78,42.35,12.91
Groundnut,Rajasthan,Jaipur,Zaid,2004,3174.83,5481.03,1.7264,,29.84,53.15,6.86,33.0,40.38,81.79,7.81
Wheat,Andhra Pradesh,Vijayawada,Rabi,2005,29523.93,100641.17,3.4088,413.53,21.43,64.95,7.16,66.03,54.52,51.87,3.94
Coffee,Bihar,Darbhanga,Whole Year,2010,46287.63,77902.08,1.683,,25.43,77.53,,83.74,69.98,119.33,7.87
Potato,West Bengal,Howrah,Whole Year,2023,20956.17,624795.63,29.8144,757.07,19.31,68.93,6.46,97.32,81.3,119.41,0.81
Bajra,Tamil Nadu,Tiruchirappalli,Kharif,2007,8317.85,10511.27,1.2637,390.59,35.59,56.5,5.7,45.32,31.02,22.11,19.24
Maize,Bihar,Patna,Kharif,2007,18865.38,72137.44,3.8238,666.67,27.69,73.42,6.88,85.34,68.18,54.43,14.26
Soybean,Assam,Jorhat,Kharif,2009,15103.91,34950.45,2.314,1013.01,27.81,50.8,6.59,43.83,58.62,44.9,12.85
Sunflower,Madhya Pradesh,Jabalpur,Zaid,2010,7316.73,10713.89,1.4643,517.13,29.26,66.31,6.31,80.38,44.55,46.75,7.84
Sunflower,Assam,Guwahati,Zaid,2004,,31470.59,1.4138,790.45,26.57,56.82,7.42,81.49,42.17,47.27,17.78
Potato,Assam,Guwahati,Whole Year,2006,44963.32,1246432.69,27.7211,546.84,17.13,74.27,6.11,86.39,89.68,149.48,18.01
Mustard,Maharashtra,Amravati,Rabi,2009,17855.19,39801.0,2.2291,605.65,12.36,51.89,5.91,70.31,,40.05,13.59
Tea,Gujarat,Rajkot,Whole Year,2012,12234.33,28498.65,2.3294,1736.26,22.71,89.41,4.87,81.52,30.05,74.44,14.21
Coffee,Uttar Pradesh,Varanasi,Whole Year,2013,47360.81,93674.95,1.9779,2345.8,21.39,87.88,6.3,120.42,66.58,95.9,19.68
Sunflower,Odisha,Sambalpur,Zaid,2001,36115.79,53837.81,1.4907,502.49,26.39,47.31,6.42,62.22,,46.87,17.26
Maize,Andhra Pradesh,Vijayawada,Zaid,2014,36504.91,181480.51,4.9714,1170.73,26.49,76.78,,116.74,48.71,58.68,18.62
Cotton,Andhra Pradesh,Kakinada,Kharif,2014,14808.36,28783.01,1.9437,791.57,32.5,68.43,7.79,63.63,29.24,26.36,15.04
Sugarcane,Telangana,Khammam,Kharif,2011,8050.23,606518.82,75.3418,1032.92,25.71,74.2,6.63,116.31,71.17,88.99,1.73
Coffee,Karnataka,Mangaluru,Whole Year,2010,5361.9,9866.43,1.8401,2134.69,22.92,75.71,5.79,103.69,57.49,121.35,15.53
Coffee,Maharashtra,Nagpur,Whole Year,2005,34172.75,58712.2,1.7181,1890.43,26.85,77.95,5.54,115.96,46.77,125.16,14.89
Coffee,Bihar,Gaya,Whole Year,2018,14907.1,25834.0,1.733,2046.65,25.1,82.66,6.39,118.63,42.82,99.85,19.85
Barley,Haryana,Rohtak,Rabi,2014,7097.43,20180.12,2.8433,357.71,24.36,63.83,7.31,71.13,45.12,35.68,8.92
Groundnut,Bihar,Darbhanga,Zaid,2018,36136.13,60762.9,1.6815,613.38,27.62,70.42,,21.98,45.49,62.12,16.92
Bajra,Tamil Nadu,Salem,Kharif,2011,42153.11,58799.37,1.3949,513.53,35.67,46.38,6.15,73.46,39.04,33.17,18.96
Potato,Haryana,Rohtak,Rabi,2010,33529.23,1053759.99,31.4281,663.52,20.63,65.06,6.38,125.13,98.85,129.99,15.8
Mustard,Gujarat,Ahmedabad,Rabi,2005,14980.05,29985.57,2.0017,,23.2,44.33,6.6,55.51,49.99,32.94,19.53
Soybean,Tamil Nadu,Coimbatore,Kharif,2001,35008.27,66715.26,1.9057,683.81,28.14,72.52,6.54,,45.98,50.92,7.66
Mustard,Telangana,Hyderabad,Rabi,2013,35348.01,87090.43,2.4638,499.05,15.01,69.11,5.88,74.65,42.04,46.41,13.47
Onion,Bihar,Muzaffarpur,Zaid,2021,3461.87,86006.7,24.844,473.46,19.67,53.71,7.23,97.54,58.3,63.08,15.62
Mustard,Rajasthan,Bikaner,Rabi,2003,21688.39,36156.71,1.6671,356.92,12.01,61.03,6.86,74.46,37.56,34.77,11.8
Jowar,Gujarat,Rajkot,Kharif,2023,8220.11,15018.96,1.8271,692.16,27.89,56.89,7.48,76.83,38.95,49.7,14.61
Sugarcane,West Bengal,Siliguri,Kharif,2009,43026.19,3731325.85,86.7222,1860.81,33.78,78.69,6.94,154.72,,85.3,11.76
Jowar,Karnataka,Belagavi,Kharif,2010,22822.34,36308.06,1.5909,656.05,34.04,54.47,6.23,62.19,44.35,36.98,2.7
Chickpea,Rajasthan,Udaipur,Rabi,2008,37913.57,68460.53,1.8057,508.34,25.52,44.98,7.17,31.94,57.36,31.15,18.76
Potato,Rajasthan,Ajmer,Rabi,2002,27102.59,855035.22,31.5481,839.08,15.84,74.7,5.74,129.56,95.77,135.55,1.51
Coffee,Uttar Pradesh,Bareilly,Whole Year,2005,45172.23,74421.25,1.6475,1678.98,25.3,74.09,5.57,100.42,57.48,95.4,
Ginger,Odisha,Rourkela,Kharif,2012,33548.83,656161.44,19.5584,2728.48,22.15,80.91,6.03,84.27,57.98,101.08,6.26
Sunflower,West Bengal,Asansol,Zaid,2022,15074.65,25599.77,1.6982,481.58,26.28,63.46,6.82,67.76,57.03,46.68,19.22
Tomato,West Bengal,Asansol,Whole Year,2011,500.82,19365.66,38.6679,1124.7,21.59,62.18,6.78,89.05,89.8,82.9,17.01
Sugarcane,Telangana,Khammam,Whole Year,2010,34537.31,2921359.09,84.5856,1260.56,28.87,80.81,7.45,123.09,54.29,101.32,1.15
Rice,Maharashtra,Nagpur,Kharif,2002,16201.02,68541.66,4.2307,2195.78,31.0,75.62,6.65,101.12,54.05,41.98,4.02
Sunflower,West Bengal,Durgapur,Zaid,2014,1412.38,2191.31,1.5515,411.86,29.71,48.01,6.42,81.6,56.89,42.17,2.2
Sunflower,Gujarat,Rajkot,Zaid,2020,9322.25,14456.95,1.5508,570.14,28.69,50.99,,97.79,45.64,,3.41
Cotton,Assam,Guwahati,Kharif,2019,45679.64,82419.77,1.8043,603.35,29.85,73.73,7.25,66.48,36.59,33.15,7.4
Sunflower,Tamil Nadu,Chennai,Rabi,2012,37004.41,57212.52,1.5461,480.68,23.17,59.82,7.11,64.74,50.66,57.09,6.03
Onion,Rajasthan,Kota,Rabi,2009,18431.95,407475.12,22.107,546.74,17.46,55.86,6.97,75.22,51.26,76.58,9.59
Sunflower,Madhya Pradesh,Bhopal,Rabi,2018,28568.43,,1.2514,658.54,20.76,50.95,5.95,63.33,40.54,49.33,7.56
Soybean,Telangana,Nizamabad,Kharif,2010,9310.48,20551.02,2.2073,794.6,28.09,50.85,6.23,48.1,44.77,42.7,19.13
Chickpea,Haryana,Ambala,Rabi,2006,39550.78,64736.72,1.6368,522.97,16.54,60.63,6.73,32.78,55.91,28.67,10.43
Potato,Gujarat,Ahmedabad,Rabi,2010,17819.81,492297.2,27.6264,822.89,21.92,84.42,5.68,102.32,74.03,107.58,19.95
Tomato,Uttar Pradesh,Bareilly,Zaid,2002,25811.09,1023195.49,39.6417,1063.42,29.34,65.64,6.49,,88.17,98.16,19.91
Tomato,Maharashtra,Amravati,Zaid,2001,31937.95,,34.2483,1100.61,28.08,61.15,6.95,105.59,76.04,106.58,17.02
